,summary_method,summary_percentage,ranking,ranking_how,ranking_perc_threshold,confidence,relation,meteor_pr,meteor_re,meteor_f1,rouge-2_pr,rouge-2_re,rouge-2_f1
197,chat-gpt,15,page\_rank,all,15.0,0.5,rebel\_ft,24.4,28.3,25.5,12.9,11.9,11.5
502,chat-gpt,15,page\_rank,all,15.0,0.5,rebel\_hf,26.2,26.4,25.3,14.1,7.2,8.8
422,chat-gpt,15,page\_rank,all,15.0,0.7,rebel\_hf,26.2,26.4,25.3,14.6,7.3,9.1
610,chat-gpt,15,page\_rank,all,15.0,0.7,rebel\_ft,24.4,28.3,25.5,12.9,11.8,11.4
156,chat-gpt,15,page\_rank,all,30.0,0.5,rebel\_ft,28.0,25.2,25.6,15.7,7.8,9.8
369,chat-gpt,15,page\_rank,all,30.0,0.5,rebel\_hf,30.5,23.9,25.7,18.1,4.9,7.4
33,chat-gpt,15,page\_rank,all,30.0,0.7,rebel\_ft,28.0,25.2,25.6,15.6,7.6,9.6
575,chat-gpt,15,page\_rank,all,30.0,0.7,rebel\_hf,30.5,23.9,25.7,18.3,4.9,7.4
475,chat-gpt,15,page\_rank,all,50.0,0.5,rebel\_ft,30.5,24.1,26.3,19.6,6.0,8.9
533,chat-gpt,15,page\_rank,all,50.0,0.5,rebel\_hf,32.8,22.2,25.7,21.9,3.6,6.0
336,chat-gpt,15,page\_rank,all,50.0,0.7,rebel\_hf,32.8,22.2,25.7,21.3,3.5,5.9
499,chat-gpt,15,page\_rank,all,50.0,0.7,rebel\_ft,30.5,24.1,26.3,19.8,6.0,8.8
227,chat-gpt,15,page\_rank,all,70.0,0.5,rebel\_hf,34.3,20.9,25.3,23.5,2.9,4.9
688,chat-gpt,15,page\_rank,all,70.0,0.5,rebel\_ft,32.8,22.6,26.2,22.1,5.0,7.8
470,chat-gpt,15,page\_rank,all,70.0,0.7,rebel\_ft,32.8,22.6,26.2,21.4,4.8,7.5
606,chat-gpt,15,page\_rank,all,70.0,0.7,rebel\_hf,34.3,20.9,25.3,23.1,2.8,4.8
53,chat-gpt,15,page\_rank,single,15.0,0.5,rebel\_hf,18.0,22.1,19.2,8.0,7.0,7.0
278,chat-gpt,15,page\_rank,single,15.0,0.5,rebel\_ft,15.8,22.1,17.7,5.6,9.1,6.3
20,chat-gpt,15,page\_rank,single,15.0,0.7,rebel\_ft,15.8,22.1,17.7,5.6,9.1,6.3
41,chat-gpt,15,page\_rank,single,15.0,0.7,rebel\_hf,18.0,22.1,19.2,8.1,7.1,7.1
